street_name,city,price,bedroom_number,price_per_unit,living_space,land_space,land_space_unit,property_type
03 212th Street,Queens,1250000.0,8.0,,,2000.0,sqft,MULTI_FAMILY
20 103rd Avenue,Queens,739000.0,3.0,599.0,1232.0,3000.0,sqft,SINGLE_FAMILY
Murdock Ave,Queens,599000.0,2.0,276.0,2167.0,2167.0,sqft,SINGLE_FAMILY
05 Pershing Crescent UNIT 515,Queens,218000.0,1.0,290.0,750.0,,,CONDO
36 111th Avenue,Queens,739000.0,4.0,703.0,1050.0,3280.0,sqft,SINGLE_FAMILY
01 Main St #601,Queens,265000.0,1.0,614.0,431.0,,,CONDO
21 Burden Cres APT 407,Queens,284000.0,2.0,,,,,CONDO
05 Pershing Cres APT 414,Queens,248888.0,1.0,,,,,CONDO
07 Charter Rd #14GC,Queens,135000.0,1.0,207.0,650.0,,,CONDO
05 Pershing Crescent UNIT 305,Queens,254999.0,1.0,339.0,750.0,,,CONDO
15 83rd Avenue UNIT 114,Queens,225000.0,1.0,346.0,650.0,,,CONDO
59 86th Ave,Queens,699000.0,3.0,,,,,SINGLE_FAMILY
21-29 Archer Avenue LOT 15,Queens,5000000.0,,,,4040.0,sqft,LOT
06 Murdock Avenue,Queens,674999.0,3.0,,,3442.0,sqft,SINGLE_FAMILY
10 84th Dr APT 3A,Queens,269000.0,2.0,283.0,950.0,,,CONDO
17 220th Street,Queens,955000.0,8.0,,,5000.0,sqft,MULTI_FAMILY
14 84 Road UNIT 3a,Queens,205000.0,2.0,,,,,CONDO
17 139 St,Queens,779000.0,6.0,381.0,2040.0,4120.0,sqft,SINGLE_FAMILY
15 Main Street UNIT 7I,Queens,499000.0,2.0,369.0,1350.0,,,CONDO
87 148 Street,Queens,899000.0,3.0,,,4176.0,sqft,SINGLE_FAMILY
20 84th Dr APT 4M,Queens,288000.0,2.0,,,,,CONDO
19 87th Road,Queens,779000.0,4.0,,,2100.0,sqft,SINGLE_FAMILY
Sutphin Blvd,Queens,810000.0,3.0,426.0,1900.0,3998.0,sqft,MULTI_FAMILY
51 112 Road,Queens,699000.0,4.0,,,2725.0,sqft,SINGLE_FAMILY
20 84Dr UNIT 4M,Queens,288000.0,2.0,,,,,CONDO
31 Bellaire Place,Queens,679000.0,4.0,,,3761.0,sqft,SINGLE_FAMILY
10 84 Road Road UNIT 4K,Queens,190000.0,1.0,,,,,CONDO
50 Burden Crescent UNIT 6E,Queens,180000.0,1.0,,,,,CONDO
65 141st Street,Queens,1425000.0,3.0,950.0,1500.0,8000.0,sqft,SINGLE_FAMILY
Pershing Cres APT 309,Queens,200000.0,0.0,,,,,CONDO
54 Union Tpke #16GB,Queens,399000.0,2.0,,,,,CONDO
35 Lander St #2E,Queens,199000.0,1.0,,,,,CONDO
60 Pershing Crescen,Queens,797000.0,3.0,,,1800.0,sqft,TOWNHOUSE
111th Rd,Queens,370000.0,4.0,275.0,1344.0,3001.0,sqft,SINGLE_FAMILY
63 Hoover Avenue,Queens,698000.0,2.0,,,1600.0,sqft,TOWNHOUSE
40 147th,Queens,950000.0,3.0,,,1840.0,sqft,MULTI_FAMILY
14 Union Turnpike UNIT 2GC,Queens,289000.0,1.0,,,,,CONDO
108th Ave,Queens,290000.0,2.0,239.0,1209.0,3998.0,sqft,SINGLE_FAMILY
35 Van Wyck Expressway,Queens,650000.0,3.0,342.0,1900.0,1900.0,sqft,SINGLE_FAMILY
41 84th Drive UNIT 1A,Queens,449999.0,1.0,,,0.3179,acres,CONDO
52 Charter Road UNIT 37D,Queens,278888.0,2.0,272.0,1024.0,,,CONDO
39 Hoover Avenue,Queens,988000.0,3.0,,,4141.0,sqft,SINGLE_FAMILY
15 83 Avenue UNIT 504,Queens,225000.0,1.0,,,,,CONDO
29 97th Avenue,Queens,1150000.0,5.0,515.0,2232.0,2600.0,sqft,MULTI_FAMILY
15 83rd Ave #406,Queens,195000.0,0.0,,,,,CONDO
16 145th St,Queens,599000.0,0.0,,,,,SINGLE_FAMILY
21 Burden Cres #505,Queens,218000.0,1.0,311.0,700.0,,,CONDO
28 Charter Rd #33D,Queens,279999.0,2.0,,,,,CONDO
67 Remington Street,Queens,457000.0,3.0,,,1685.0,sqft,SINGLE_FAMILY
29 84 Avenue,Queens,1050000.0,4.0,,,2875.0,sqft,SINGLE_FAMILY
105th Ave,Queens,550000.0,3.0,452.0,1216.0,2600.0,sqft,SINGLE_FAMILY
102nd Ave,Queens,689000.0,5.0,344.0,2000.0,3920.0,sqft,MULTI_FAMILY
03 216 St.,Queens,390000.0,3.0,,,2500.0,sqft,SINGLE_FAMILY
212th St,Queens,699000.0,5.0,367.0,1900.0,1900.0,sqft,MULTI_FAMILY
