price,monthly_payment,"Median household income (in 2022 dollars), 2018-2022",bedroom_number,property_type,Borough,can_afford
899000.0,5807.013563629602,,3.0,SINGLE_FAMILY,Queens,0
288000.0,1860.3113529758905,,2.0,CONDO,Queens,0
779000.0,5031.88383322298,,4.0,SINGLE_FAMILY,Queens,0
810000.0,5232.1256802446915,,3.0,MULTI_FAMILY,Queens,0
699000.0,4515.130679618566,,4.0,SINGLE_FAMILY,Queens,0
288000.0,1860.3113529758905,,2.0,CONDO,Queens,0
679000.0,4385.9423912174625,,4.0,SINGLE_FAMILY,Queens,0
190000.0,1227.2887398104829,,1.0,CONDO,Queens,0
180000.0,1162.6945956099312,,1.0,CONDO,Queens,0
1425000.0,9204.665548578625,,3.0,SINGLE_FAMILY,Queens,0
200000.0,1291.8828840110348,,0.0,CONDO,Queens,0
399000.0,2577.3063536020145,,2.0,CONDO,Queens,0
199000.0,1285.4234695909795,,1.0,CONDO,Queens,0
797000.0,5148.153292783974,,3.0,TOWNHOUSE,Queens,0
370000.0,2389.9833354204143,,4.0,SINGLE_FAMILY,Queens,0
698000.0,4508.671265198511,,2.0,TOWNHOUSE,Queens,0
950000.0,6136.4436990524155,,3.0,MULTI_FAMILY,Queens,0
289000.0,1866.770767395945,,1.0,CONDO,Queens,0
290000.0,1873.2301818160006,,2.0,SINGLE_FAMILY,Queens,0
650000.0,4198.619373035863,,3.0,SINGLE_FAMILY,Queens,0
449999.0,2906.7300296104077,,1.0,CONDO,Queens,0
278888.0,1801.4531687803476,,2.0,CONDO,Queens,0
988000.0,6381.901447014512,,3.0,SINGLE_FAMILY,Queens,0
225000.0,1453.3682445124139,,1.0,CONDO,Queens,0
1150000.0,7428.326583063448,,5.0,MULTI_FAMILY,Queens,0
195000.0,1259.5858119107588,,0.0,CONDO,Queens,0
599000.0,3869.1892376130486,,0.0,SINGLE_FAMILY,Queens,0
218000.0,1408.1523435720278,,1.0,CONDO,Queens,0
279999.0,1808.6295782010288,,2.0,CONDO,Queens,0
457000.0,2951.952389965214,,3.0,SINGLE_FAMILY,Queens,0
1050000.0,6782.385141057932,,4.0,SINGLE_FAMILY,Queens,0
550000.0,3552.677931030345,,3.0,SINGLE_FAMILY,Queens,0
689000.0,4450.536535418015,,5.0,MULTI_FAMILY,Queens,0
390000.0,2519.1716238215176,,3.0,SINGLE_FAMILY,Queens,0
699000.0,4515.130679618566,,5.0,MULTI_FAMILY,Queens,0
499000.0,3223.2477956075318,,4.0,SINGLE_FAMILY,Queens,0
750000.0,4844.560815041379,,4.0,MULTI_FAMILY,Queens,0
659000.0,4256.75410281636,,4.0,SINGLE_FAMILY,Queens,0
420000.0,2712.954056423173,,2.0,CONDO,Queens,0
689000.0,4450.536535418015,,3.0,SINGLE_FAMILY,Queens,0
6200000.0,40048.36940434208,,0.0,SINGLE_FAMILY,Queens,0
420000.0,2712.954056423173,,2.0,CONDO,Queens,0
